0.100000	0.430000	0.00	0.422553	0.053798	8.815395	0.125275	0.016150
0.100000	0.430000	0.00	-0.263746	0.380000	15.462254	-0.135051	0.196861
0.100000	0.430000	0.00	-0.021947	0.181211	2.244783	0.002700	0.033104
-0.100000	0.430000	0.00	-0.470416	-0.378112	2.427898	-0.032604	-0.024605
-0.100000	0.430000	0.00	0.432279	0.249280	4.650446	0.085476	0.023285
0.100000	0.430000	0.00	-0.184905	0.063210	1.314120	-0.024020	0.009884
0.100000	0.430000	0.00	0.051089	0.346656	2.758547	-0.010543	0.020074
0.100000	0.430000	0.00	0.163278	0.368156	6.053725	0.037449	0.083214
0.100000	0.430000	0.00	0.368968	-0.349092	4.260707	0.031406	-0.067900
0.100000	0.430000	0.00	-0.123128	-0.192944	3.720293	-0.023126	-0.027341
0.100000	0.430000	0.00	0.386576	0.390696	4.883574	0.054664	0.049311
0.100000	0.430000	0.00	0.219022	-0.207173	5.335164	0.039027	-0.057750
0.100000	0.430000	0.00	0.271589	0.293589	6.450216	0.050074	0.042121
-0.100000	0.430000	0.00	-0.311722	0.133299	4.634060	-0.034728	0.007628
-0.100000	0.430000	0.00	-0.079779	0.378154	2.575464	0.000554	0.016815
-0.100000	0.430000	0.00	-0.333885	-0.090494	5.254879	-0.034509	-0.018503
0.100000	0.430000	0.00	-0.228260	0.130059	13.541353	-0.109322	0.046799
0.100000	0.430000	0.00	0.349379	-0.384329	41.187319	0.429187	-0.461482
0.100000	0.430000	0.00	0.026628	-0.165227	2.113581	-0.010426	-0.030328
-0.100000	0.430000	0.00	-0.446427	0.250151	3.779899	-0.043898	0.021655
0.100000	0.430000	0.00	0.172572	0.039161	4.513147	0.010705	0.019190
0.100000	0.430000	0.00	-0.336548	0.386752	5.051589	-0.037610	0.049457
-0.100000	0.430000	0.00	-0.014568	-0.354338	4.262959	0.003777	-0.039510
-0.100000	0.430000	0.00	0.206250	0.174155	2.956413	0.007444	0.025857
-0.100000	0.430000	0.00	-0.285055	-0.397008	4.215864	-0.046672	-0.075468
0.100000	0.430000	0.00	0.068193	-0.165254	3.765626	-0.010205	-0.014980
0.100000	0.430000	0.00	-0.423933	0.429151	6.098560	-0.078334	0.088069
-0.100000	0.430000	0.00	-0.252626	-0.164215	5.474502	-0.057835	-0.033909
-0.100000	0.430000	0.00	-0.387284	0.051193	5.290723	-0.059190	0.006365
-0.100000	0.430000	0.00	0.176254	0.462352	5.898269	0.030447	0.077496
0.100000	0.430000	0.00	0.157530	0.473529	3.589206	0.021051	0.059978
0.100000	0.430000	0.00	0.169520	-0.291826	6.366801	0.015605	-0.066962
0.100000	0.430000	0.00	-0.342807	0.434338	4.327690	-0.036505	0.068825
0.100000	0.430000	0.00	-0.467379	0.158215	6.538462	-0.098326	0.024716
0.100000	0.430000	0.00	-0.000485	0.457692	3.543579	-0.007945	0.030688
0.100000	0.430000	0.00	-0.475709	-0.475090	3.691993	-0.053017	-0.056850
0.100000	0.430000	0.00	0.150578	-0.367769	5.166757	0.020827	-0.042818
0.100000	0.430000	0.00	0.077227	0.128748	9.907909	0.014723	0.045488
0.100000	0.430000	0.00	0.336517	-0.188957	6.589693	0.068133	-0.036217
0.100000	0.430000	0.00	-0.056492	-0.391387	2.610804	-0.009838	-0.010059
-0.100000	0.430000	0.00	-0.141368	-0.183165	3.300822	-0.005476	-0.026866
0.100000	0.430000	0.00	0.103395	0.242776	6.917102	0.013488	0.044547
-0.100000	0.430000	0.00	-0.358170	-0.227058	4.041830	-0.023188	-0.011786
-0.100000	0.430000	0.00	-0.171333	-0.323239	4.389448	-0.008946	-0.038834
0.100000	0.430000	0.00	0.197484	0.391210	3.627704	0.013437	0.047703
