mCP_UFO 1.84 0.1 3.94974655581*10^-06
mCP_UFO 2.2 0.1 4.76343820535*10^-06
mCP_UFO 2.6 0.1 5.37578002528*10^-06
mCP_UFO 3.04 0.1 6.26190380177*10^-06
mCP_UFO 3.54 0.1 6.81189592636*10^-06
mCP_UFO 4.1 0.1 7.50041290472*10^-06
mCP_UFO 4.71 0.1 8.45742181917*10^-06
mCP_UFO 5.4 0.1 9.70059706815*10^-06
mCP_UFO 6.15 0.1 1.06340348275*10^-05
mCP_UFO 6.98 0.1 1.14447800717*10^-05
mCP_UFO 7.9 0.1 1.21905519018*10^-05
mCP_UFO 8.9 0.1 1.3105603269*10^-05
mCP_UFO 10.0 0.1 1.37398566248*10^-05
mCP_UFO 11.2 0.1 1.41251648939*10^-05
mCP_UFO 12.5 0.1 1.43123713207*10^-05
mCP_UFO 14.0 0.1 1.42566301876*10^-05
mCP_UFO 15.5 0.1 1.40285119293*10^-05
mCP_UFO 17.2 0.1 1.3257287656*10^-05
mCP_UFO 19.1 0.1 1.25732501418*10^-05
mCP_UFO 21.1 0.1 1.13832310384*10^-05
mCP_UFO 23.3 0.1 9.81806322556*10^-06
mCP_UFO 25.6 0.1 7.73726644041*10^-06
mCP_UFO 28.2 0.1 4.167943063*10^-06
mCP_UFO 30.9 0.1 2.41756614722*10^-06
mCP_UFO 33.9 0.1 1.67787121581*10^-06
mCP_UFO 37.1 0.1 9.7361448667*10^-07
mCP_UFO 40.5 0.1 6.86958311503*10^-07
mCP_UFO 44.2 0.1 5.34131969183*10^-07
mCP_UFO 48.2 0.1 1.90844340281*10^-06
mCP_UFO 52.5 0.1 3.03474857683*10^-06
mCP_UFO 57.1 0.1 3.69367227061*10^-06
mCP_UFO 62.1 0.1 3.92106837189*10^-06
mCP_UFO 67.4 0.1 4.21847116288*10^-06
mCP_UFO 73.0 0.1 4.53044147074*10^-06
mCP_UFO 79.1 0.1 4.56655722423*10^-06
mCP_UFO 85.6 0.1 4.73146859281*10^-06
mCP_UFO 92.6 0.1 4.67562338948*10^-06
