Y3S	2.2	0.01	0.0000254137492406
Y3S	2.6	0.01	0.0000237527062382
Y3S	3.04	0.01	0.0000219268913316
Y3S	3.54	0.01	0.0000196796744386
Y3S	4.1	0.01	0.0000169931322962
Y3S	0.1	0.1	0.0000292952492808
Y3S	0.28	0.1	0.0000293947628398
Y3S	0.43	0.1	0.0000291611028235
Y3S	0.6	0.1	0.0000291499207623
Y3S	0.78	0.1	0.0000285085120886
Y3S	1.	0.1	0.0000280811085998
Y3S	1.25	0.1	0.0000272006790134
Y3S	1.52	0.1	0.0000260904372931
Y3S	1.84	0.1	0.0000254634895388
Y3S	2.2	0.1	0.0000238856290394
Y3S	2.6	0.1	0.0000216443966502
Y3S	3.04	0.1	0.0000195027487889
Y3S	3.54	0.1	0.00001675024512
Y3S	4.1	0.1	0.0000134156607859
mCP_UFO	0.1	0.001	4.07884338852e-6
mCP_UFO	0.28	0.001	3.95412881565e-6
mCP_UFO	0.43	0.001	3.78516194345e-6
mCP_UFO	0.6	0.001	3.58153026267e-6
mCP_UFO	0.78	0.001	3.29367495612e-6
mCP_UFO	1.	0.001	3.35421117247e-6
mCP_UFO	1.25	0.001	4.61837866276e-6
mCP_UFO	1.52	0.001	5.56366655772e-6
mCP_UFO	1.84	0.001	6.47236173374e-6
mCP_UFO	2.2	0.001	7.22542717328e-6
mCP_UFO	2.6	0.001	8.00771030553e-6
mCP_UFO	3.04	0.001	9.05661675931e-6
mCP_UFO	3.54	0.001	9.74337659966e-6
mCP_UFO	4.1	0.001	0.0000100400739008
mCP_UFO	4.71	0.001	0.0000109895995287
mCP_UFO	5.4	0.001	0.0000117886039449
mCP_UFO	6.15	0.001	0.0000126759803093
mCP_UFO	6.98	0.001	0.0000132772839062
mCP_UFO	7.9	0.001	0.0000140664903962
mCP_UFO	8.9	0.001	0.0000145698801375
mCP_UFO	10.	0.001	0.0000152943389222
mCP_UFO	11.2	0.001	0.0000158576647493
mCP_UFO	12.5	0.001	0.0000157817843939
mCP_UFO	14.	0.001	0.0000160566217255
