0.1 248446
0.28 250934
0.43 253688
0.6 251298
0.78 240292
1 193122
1.25 104962
1.52 64867.5
1.84 42486.8
2.2 29065.2
2.6 20862.8
3.04 15479.9
3.54 11728.8
4.1 9049.73
4.71 7170.65
5.4 5748.2
6.15 4746.36
6.98 4005.84
7.9 3451.88
8.9 3042.57
10 2738.42
11.2 2502.51
12.5 2328.31
14 2185.04
15.5 2081.86
17.2 1996.86
19.1 1923.15
21.1 1860.24
23.3 1801.9
25.6 1743.31
28.2 1674.57
30.9 1591.36
33.9 1477.76
37.1 1313.99
40.5 1058.68
44.2 560.754
48.2 46.0292
52.5 19.7667
57.1 12.0896
62.1 8.25215
67.4 5.96136
73 4.44329
79.1 3.35052
85.6 2.55711
92.6 1.96159
100 1.51644
