0.1 0.0010 25000 9
0.1 0.0020 25000 879
0.1 0.0030 25000 4311
0.1 0.0040 10000 3539
0.1 0.0050 10000 4946
0.1 0.0060 1000 564
0.1 0.0070 1000 597
0.1 0.0080 1000 621
0.1 0.0090 1000 623
0.1 0.0100 400 241
0.1 0.0120 400 244
0.28 0.0010 25000 33
0.28 0.0020 25000 897
0.28 0.0030 25000 4390
0.28 0.0040 10000 3626
0.28 0.0050 10000 5044
0.28 0.0060 1000 569
0.28 0.0070 1000 593
0.28 0.0080 1000 610
0.28 0.0090 1000 612
0.28 0.0100 400 248
0.28 0.0120 400 248
0.28 0.0140 400 252
0.43 0.0010 25000 29
0.43 0.0020 25000 925
0.43 0.0030 25000 4532
0.43 0.0040 10000 3791
0.43 0.0050 10000 5161
0.43 0.0060 1000 573
0.43 0.0070 1000 615
0.43 0.0080 1000 628
0.43 0.0090 1000 644
0.43 0.0100 400 257
0.43 0.0120 400 258
0.43 0.0140 400 261
0.6 0.0010 25000 32
0.6 0.0020 25000 976
0.6 0.0030 25000 4652
0.6 0.0040 10000 3860
0.6 0.0050 10000 5174
0.6 0.0060 1000 595
0.6 0.0070 1000 618
0.6 0.0080 1000 643
0.6 0.0090 1000 636
0.6 0.0100 400 256
0.6 0.0120 400 251
0.6 0.0140 400 260
0.78 0.0010 25000 30
0.78 0.0020 25000 1052
0.78 0.0030 25000 4905
0.78 0.0040 10000 3877
0.78 0.0050 10000 5148
0.78 0.0060 1000 550
0.78 0.0070 1000 572
0.78 0.0080 1000 597
0.78 0.0090 1000 607
0.78 0.0100 400 266
0.78 0.0120 400 270
0.78 0.0140 400 273
1.0 0.0010 25000 38
1.0 0.0020 25000 1031
1.0 0.0030 25000 4923
1.0 0.0040 10000 3884
1.0 0.0050 10000 5168
1.0 0.0060 1000 601
1.0 0.0070 1000 637
1.0 0.0080 1000 642
1.0 0.0090 1000 651
1.0 0.0100 400 246
1.0 0.0120 400 252
1.0 0.0140 400 255
1.25 0.0010 25000 24
1.25 0.0020 25000 1072
1.25 0.0030 25000 4805
1.25 0.0040 10000 3902
1.25 0.0050 10000 5172
1.25 0.0060 1000 561
