0.1 0.0010 25000 29
0.1 0.0020 25000 870
0.1 0.0030 25000 4305
0.1 0.0040 10000 3601
0.1 0.0050 10000 4986
0.1 0.0070 1000 604
0.1 0.0080 1000 626
0.1 0.0090 1000 634
0.1 0.0100 400 255
0.1 0.0120 400 258
0.1 0.0140 400 256
0.28 0.0010 25000 19
0.28 0.0020 25000 845
0.28 0.0030 25000 4278
0.28 0.0040 10000 3564
0.28 0.0050 10000 5044
0.28 0.0060 1000 548
0.28 0.0070 1000 580
0.28 0.0080 1000 598
0.28 0.0090 1000 603
0.28 0.0100 400 258
0.28 0.0120 400 261
0.28 0.0140 400 260
0.43 0.0010 25000 26
0.43 0.0020 25000 844
0.43 0.0030 25000 4245
0.43 0.0040 10000 3645
0.43 0.0050 10000 5043
0.43 0.0060 1000 576
0.43 0.0070 1000 615
0.43 0.0080 1000 628
0.43 0.0090 1000 631
0.43 0.0100 400 266
0.43 0.0120 400 265
0.43 0.0140 400 267
0.6 0.0010 25000 30
0.6 0.0020 25000 802
0.6 0.0030 25000 4283
0.6 0.0040 10000 3652
0.6 0.0050 10000 5011
0.6 0.0060 1000 579
0.6 0.0070 1000 611
0.6 0.0080 1000 631
0.6 0.0090 1000 637
0.6 0.0120 400 261
0.6 0.0140 400 263
0.78 0.0010 25000 30
0.78 0.0020 25000 861
0.78 0.0030 25000 4384
0.78 0.0040 10000 3722
0.78 0.0050 10000 5053
0.78 0.0060 1000 580
0.78 0.0070 1000 615
0.78 0.0080 1000 615
0.78 0.0090 1000 634
0.78 0.0100 400 267
0.78 0.0120 400 275
0.78 0.0140 400 275
1.0 0.0010 25000 27
1.0 0.0020 25000 901
1.0 0.0030 25000 4416
1.0 0.0040 10000 3624
1.0 0.0050 10000 5008
1.0 0.0060 1000 567
1.0 0.0070 1000 593
1.0 0.0080 1000 607
1.0 0.0090 1000 627
1.0 0.0100 400 269
1.0 0.0120 400 271
1.0 0.0140 400 272
1.25 0.0010 25000 36
1.25 0.0020 25000 910
1.25 0.0030 25000 4528
1.25 0.0040 10000 3703
1.25 0.0050 10000 5105
1.25 0.0060 1000 577
1.25 0.0070 1000 579
1.25 0.0080 1000 602
1.25 0.0090 1000 624
1.25 0.0100 400 241
1.25 0.0120 400 247
1.25 0.0140 400 247
