0.1 0.0015 25000 201
0.1 0.001 25000 24
0.1 0.0022 25000 1154
0.1 0.0034 10000 2116
0.1 0.0051 1000 401
0.1 0.0076 1000 494
0.1 0.0114 400 220
0.1 0.0171 400 222
0.1 0.0256 100 66
0.1 0.0384 100 66
0.1 0.0575 50 38
0.1 0.1 50 33
0.28 0.0015 25000 164
0.28 0.001 25000 22
0.28 0.0022 25000 1066
0.28 0.0034 10000 2121
0.28 0.0051 1000 430
0.28 0.0076 1000 524
0.28 0.0114 400 203
0.28 0.0171 400 207
0.28 0.0256 100 56
0.28 0.0384 100 56
0.28 0.0575 50 29
0.28 0.1 50 25
0.43 0.0015 25000 179
0.43 0.001 25000 18
0.43 0.0022 25000 1186
0.43 0.0034 10000 2164
0.43 0.0051 1000 436
0.43 0.0076 1000 543
0.43 0.0114 400 224
0.43 0.0171 400 227
0.43 0.0256 100 60
0.43 0.0384 100 60
0.43 0.0575 50 34
0.43 0.1 50 26
0.6 0.0015 25000 147
0.6 0.001 25000 20
0.6 0.0022 25000 1098
0.6 0.0034 10000 2086
0.6 0.0051 1000 442
0.6 0.0076 1000 528
0.6 0.0114 400 229
0.6 0.0171 400 233
0.6 0.0256 100 57
0.6 0.0384 100 56
0.6 0.0575 50 33
0.6 0.1 50 29
0.78 0.0015 25000 181
0.78 0.001 25000 20
0.78 0.0022 25000 1144
0.78 0.0034 10000 2169
0.78 0.0051 1000 430
0.78 0.0076 1000 498
0.78 0.0114 400 218
0.78 0.0171 400 219
0.78 0.0256 100 51
0.78 0.0384 100 50
0.78 0.0575 50 26
0.78 0.1 50 29
1.0 0.0015 25000 212
1.0 0.001 25000 20
1.0 0.0022 25000 1251
1.0 0.0034 10000 2244
1.0 0.0051 1000 451
1.0 0.0076 1000 525
1.0 0.0114 400 224
1.0 0.0171 400 228
1.0 0.0256 100 58
1.0 0.0384 100 61
1.0 0.0575 50 32
1.0 0.1 50 32
1.25 0.0015 25000 192
1.25 0.001 25000 18
1.25 0.0022 25000 1273
1.25 0.0034 10000 2218
1.25 0.0051 1000 435
1.25 0.0076 1000 516
1.25 0.0114 400 209
1.25 0.0171 400 212
1.25 0.0256 100 48
1.25 0.0384 100 48
1.25 0.0575 50 24
1.25 0.1 50 31
1.52 0.0015 25000 220
1.52 0.001 25000 28
1.52 0.0022 25000 1348
1.52 0.0034 10000 2282
1.52 0.0051 1000 430
1.52 0.0076 1000 517
1.52 0.0114 400 228
1.52 0.0171 400 234
1.52 0.0256 100 60
1.52 0.0384 100 59
1.52 0.0575 50 30
1.52 0.1 50 23
1.84 0.0015 25000 228
1.84 0.001 25000 23
1.84 0.0022 25000 1385
1.84 0.0034 10000 2343
1.84 0.0051 1000 445
1.84 0.0076 1000 507
1.84 0.0114 400 222
1.84 0.0171 400 230
1.84 0.0256 100 54
1.84 0.0384 100 54
1.84 0.0575 50 28
1.84 0.1 50 25
2.2 0.0015 25000 247
2.2 0.001 25000 18
2.2 0.0022 25000 1470
2.2 0.0034 10000 2484
2.2 0.0051 1000 467
2.2 0.0076 1000 560
2.2 0.0114 400 222
2.2 0.0171 400 226
2.2 0.0256 100 57
2.2 0.0384 100 59
2.2 0.0575 50 29
2.2 0.1 50 23
2.6 0.0015 25000 284
2.6 0.001 25000 20
2.6 0.0022 25000 1550
2.6 0.0034 10000 2591
2.6 0.0051 1000 476
2.6 0.0076 1000 537
2.6 0.0114 400 215
2.6 0.0171 400 219
2.6 0.0256 100 58
2.6 0.0384 100 59
2.6 0.0575 50 30
2.6 0.1 50 25
3.04 0.0015 25000 282
3.04 0.001 25000 38
3.04 0.0022 25000 1607
3.04 0.0034 10000 2632
3.04 0.0051 1000 490
3.04 0.0076 1000 544
3.04 0.0114 400 209
3.04 0.0171 400 215
3.04 0.0256 100 58
3.04 0.0384 100 59
3.04 0.0575 50 31
3.04 0.1 50 30
3.54 0.0015 25000 285
3.54 0.001 25000 35
3.54 0.0022 25000 1720
3.54 0.0034 10000 2607
3.54 0.0051 1000 454
3.54 0.0076 1000 514
3.54 0.0114 400 213
3.54 0.0171 400 218
3.54 0.0256 100 57
3.54 0.0384 100 55
3.54 0.0575 50 25
3.54 0.1 50 36
4.1 0.0015 25000 291
4.1 0.001 25000 37
4.1 0.0022 25000 1634
4.1 0.0034 10000 2490
4.1 0.0051 1000 457
4.1 0.0076 1000 530
4.1 0.0114 400 209
4.1 0.0171 400 212
4.1 0.0256 100 65
4.1 0.0384 100 66
4.1 0.0575 50 34
4.1 0.1 50 29
