0.1 0.0010 25000 21
0.1 0.0020 25000 852
0.1 0.0030 25000 4248
0.1 0.0040 10000 3658
0.1 0.0050 10000 5075
0.1 0.0060 1000 564
0.1 0.0070 1000 612
0.1 0.0080 1000 606
0.1 0.0090 1000 626
0.1 0.0100 400 264
0.1 0.0120 400 267
0.1 0.0140 400 271
0.28 0.0010 25000 23
0.28 0.0020 25000 890
0.28 0.0030 25000 4229
0.28 0.0040 10000 3572
0.28 0.0050 10000 5059
0.28 0.0060 1000 586
0.28 0.0070 1000 619
0.28 0.0080 1000 622
0.28 0.0090 1000 635
0.28 0.0100 400 249
0.28 0.0120 400 253
0.28 0.0140 400 254
0.43 0.0010 25000 21
0.43 0.0020 25000 780
0.43 0.0030 25000 4175
0.43 0.0040 10000 3573
0.43 0.0050 10000 4981
0.43 0.0060 1000 575
0.43 0.0070 1000 618
0.43 0.0080 1000 619
0.43 0.0090 1000 638
0.43 0.0100 400 267
0.43 0.0120 400 266
0.43 0.0140 400 269
0.6 0.0010 25000 22
0.6 0.0020 25000 866
0.6 0.0030 25000 4253
0.6 0.0040 10000 3565
0.6 0.0050 10000 5059
0.6 0.0060 1000 566
0.6 0.0070 1000 597
0.6 0.0080 1000 624
0.6 0.0090 1000 623
0.6 0.0100 400 244
0.6 0.0120 400 252
0.6 0.0140 400 253
0.78 0.0010 25000 19
0.78 0.0020 25000 855
0.78 0.0030 25000 4286
0.78 0.0040 10000 3617
0.78 0.0050 10000 4948
0.78 0.0060 1000 590
0.78 0.0070 1000 612
0.78 0.0080 1000 640
0.78 0.0090 1000 643
0.78 0.0100 400 251
0.78 0.0120 400 256
0.78 0.0140 400 255
1.0 0.0010 25000 21
1.0 0.0020 25000 866
1.0 0.0030 25000 4418
1.0 0.0040 10000 3753
1.0 0.0050 10000 5166
1.0 0.0060 1000 597
1.0 0.0070 1000 616
1.0 0.0080 1000 633
1.0 0.0090 1000 649
1.0 0.0100 400 244
1.0 0.0120 400 250
1.0 0.0140 400 252
1.25 0.0010 25000 21
1.25 0.0020 25000 948
1.25 0.0030 25000 4517
1.25 0.0040 10000 3861
1.25 0.0050 10000 5110
1.25 0.0060 1000 553
1.25 0.0070 1000 596
1.25 0.0080 1000 611
1.25 0.0090 1000 620
1.25 0.0100 400 258
1.25 0.0120 400 260
1.25 0.0140 400 265
1.52 0.0010 25000 35
1.52 0.0020 25000 981
1.52 0.0030 25000 4593
1.52 0.0040 10000 3786
1.52 0.0050 10000 5068
1.52 0.0060 1000 558
1.52 0.0070 1000 585
1.52 0.0080 1000 596
1.52 0.0090 1000 615
1.52 0.0100 400 255
1.52 0.0120 400 265
1.52 0.0140 400 266
1.84 0.0010 25000 29
1.84 0.0020 25000 1009
1.84 0.0030 25000 4824
1.84 0.0040 10000 3898
1.84 0.0050 10000 5217
1.84 0.0060 1000 609
1.84 0.0070 1000 632
1.84 0.0080 1000 651
1.84 0.0090 1000 659
1.84 0.0100 400 262
1.84 0.0120 400 266
1.84 0.0140 400 274
2.2 0.0010 25000 31
2.2 0.0020 25000 1138
2.2 0.0030 25000 5113
2.2 0.0040 10000 4101
2.2 0.0050 10000 5360
2.2 0.0060 1000 593
2.2 0.0070 1000 622
2.2 0.0080 1000 630
2.2 0.0090 1000 639
2.2 0.0100 400 259
2.2 0.0120 400 261
2.2 0.0140 400 265
2.6 0.0010 25000 30
2.6 0.0020 25000 1235
2.6 0.0030 25000 5282
2.6 0.0040 10000 4083
2.6 0.0050 10000 5361
2.6 0.0060 1000 596
2.6 0.0070 1000 613
2.6 0.0080 1000 621
2.6 0.0090 1000 633
2.6 0.0100 400 268
2.6 0.0120 400 270
2.6 0.0140 400 272
3.04 0.0010 25000 27
3.04 0.0020 25000 1229
3.04 0.0030 25000 5421
3.04 0.0040 10000 4167
3.04 0.0050 10000 5323
3.04 0.0060 1000 594
3.04 0.0070 1000 603
3.04 0.0080 1000 615
3.04 0.0090 1000 625
3.04 0.0100 400 248
3.04 0.0120 400 255
3.04 0.0140 400 254
3.54 0.0010 25000 40
3.54 0.0020 25000 1295
3.54 0.0030 25000 5635
3.54 0.0040 10000 4230
3.54 0.0050 10000 5390
3.54 0.0060 1000 579
3.54 0.0070 1000 599
3.54 0.0080 1000 617
3.54 0.0090 1000 629
3.54 0.0100 400 252
3.54 0.0120 400 258
3.54 0.0140 400 257
4.1 0.0010 25000 45
4.1 0.0020 25000 1285
4.1 0.0030 25000 5713
4.1 0.0040 10000 4150
4.1 0.0050 10000 5402
4.1 0.0060 1000 559
4.1 0.0070 1000 586
4.1 0.0080 1000 596
4.1 0.0090 1000 609
4.1 0.0100 400 270
4.1 0.0120 400 270
4.1 0.0140 400 276
