0.1 0.0010 25000 23
0.1 0.0015 25000 310
0.1 0.0022 25000 1867
0.1 0.0034 10000 3365
0.1 0.0051 1000 666
0.1 0.0076 1000 802
0.1 0.0114 400 320
0.1 0.0171 400 330
0.1 0.0256 100 78
0.1 0.0384 100 79
0.1 0.0575 50 42
0.1 0.1000 50 41
0.28 0.0010 25000 35
0.28 0.0015 25000 274
0.28 0.0022 25000 1729
0.28 0.0034 10000 3309
0.28 0.0051 1000 695
0.28 0.0076 1000 812
0.28 0.0114 400 331
0.28 0.0171 400 338
0.28 0.0256 100 87
0.28 0.0384 100 88
0.28 0.0575 50 42
0.28 0.1000 50 40
0.43 0.0010 25000 38
0.43 0.0015 25000 278
0.43 0.0022 25000 1804
0.43 0.0034 10000 3399
0.43 0.0051 1000 692
0.43 0.0076 1000 796
0.43 0.0114 400 329
0.43 0.0171 400 339
0.43 0.0256 100 87
0.43 0.0384 100 87
0.43 0.0575 50 43
0.43 0.1000 50 41
0.6 0.0010 25000 39
0.6 0.0015 25000 322
0.6 0.0022 25000 1783
0.6 0.0034 10000 3383
0.6 0.0051 1000 666
0.6 0.0076 1000 806
0.6 0.0114 400 332
0.6 0.0171 400 340
0.6 0.0256 100 84
0.6 0.0384 100 84
0.6 0.0575 50 43
0.6 0.1000 50 36
0.78 0.0010 25000 32
0.78 0.0015 25000 285
0.78 0.0022 25000 1862
0.78 0.0034 10000 3481
0.78 0.0051 1000 672
0.78 0.0076 1000 794
0.78 0.0114 400 331
0.78 0.0171 400 337
0.78 0.0256 100 85
0.78 0.0384 100 88
0.78 0.0575 50 45
0.78 0.1000 50 31
1.0 0.0010 25000 31
1.0 0.0015 25000 287
1.0 0.0022 25000 1887
1.0 0.0034 10000 3504
1.0 0.0051 1000 674
1.0 0.0076 1000 782
1.0 0.0114 400 333
1.0 0.0171 400 335
1.0 0.0256 100 84
1.0 0.0384 100 86
1.0 0.0575 50 44
1.0 0.1000 50 41
1.25 0.0010 25000 45
1.25 0.0015 25000 300
1.25 0.0022 25000 2002
1.25 0.0034 10000 3542
1.25 0.0051 1000 679
1.25 0.0076 1000 790
1.25 0.0114 400 338
1.25 0.0171 400 343
1.25 0.0256 100 83
1.25 0.0384 100 83
1.25 0.0575 50 42
1.25 0.1000 50 42
1.52 0.0010 25000 41
1.52 0.0015 25000 333
1.52 0.0022 25000 2103
1.52 0.0034 10000 3692
1.52 0.0051 1000 673
1.52 0.0076 1000 817
1.52 0.0114 400 332
1.52 0.0171 400 335
1.52 0.0256 100 83
1.52 0.0384 100 85
1.52 0.0575 50 43
1.52 0.1000 50 38
1.84 0.0010 25000 45
1.84 0.0015 25000 361
1.84 0.0022 25000 2272
1.84 0.0034 10000 3758
1.84 0.0051 1000 713
1.84 0.0076 1000 825
1.84 0.0114 400 327
1.84 0.0171 400 336
1.84 0.0256 100 80
1.84 0.0384 100 81
1.84 0.0575 50 39
1.84 0.1000 50 36
2.2 0.0010 25000 46
2.2 0.0015 25000 416
2.2 0.0022 25000 2256
2.2 0.0034 10000 3965
2.2 0.0051 1000 705
2.2 0.0076 1000 802
2.2 0.0114 400 340
2.2 0.0171 400 351
2.2 0.0256 100 82
2.2 0.0384 100 84
2.2 0.0575 50 42
2.2 0.1000 50 40
2.6 0.0010 25000 51
2.6 0.0015 25000 417
2.6 0.0022 25000 2393
2.6 0.0034 10000 4057
2.6 0.0051 1000 736
2.6 0.0076 1000 839
2.6 0.0114 400 342
2.6 0.0171 400 352
2.6 0.0256 100 85
2.6 0.0384 100 85
2.6 0.0575 50 45
2.6 0.1000 50 34
3.04 0.0010 25000 63
3.04 0.0015 25000 460
3.04 0.0022 25000 2619
3.04 0.0034 10000 4008
3.04 0.0051 1000 717
3.04 0.0076 1000 816
3.04 0.0114 400 333
3.04 0.0171 400 337
3.04 0.0256 100 85
3.04 0.0384 100 83
3.04 0.0575 50 41
3.04 0.1000 50 43
3.54 0.0010 25000 59
3.54 0.0015 25000 458
3.54 0.0022 25000 2599
3.54 0.0034 10000 4150
3.54 0.0051 1000 728
3.54 0.0076 1000 807
3.54 0.0114 400 342
3.54 0.0171 400 346
3.54 0.0256 100 86
3.54 0.0384 100 85
3.54 0.0575 50 41
3.54 0.1000 50 43
4.1 0.0010 25000 72
4.1 0.0015 25000 419
4.1 0.0022 25000 2740
4.1 0.0034 10000 4134
4.1 0.0051 1000 741
4.1 0.0076 1000 835
4.1 0.0114 400 351
4.1 0.0171 400 351
4.1 0.0256 100 89
4.1 0.0384 100 89
4.1 0.0575 50 43
4.1 0.1000 50 42
