0.1 0.0010 25000 31
0.1 0.0015 25000 244
0.1 0.0022 25000 1619
0.1 0.0034 10000 3327
0.1 0.0051 1000 758
0.1 0.0076 1000 905
0.1 0.0114 400 367
0.1 0.0171 400 367
0.1 0.0256 100 87
0.1 0.0384 100 88
0.1 0.0575 50 45
0.1 0.1000 50 48
0.28 0.0010 25000 20
0.28 0.0015 25000 244
0.28 0.0022 25000 1602
0.28 0.0034 10000 3369
0.28 0.0051 1000 771
0.28 0.0076 1000 929
0.28 0.0114 400 0
0.28 0.0171 400 372
0.28 0.0256 100 94
0.28 0.0384 100 94
0.28 0.0575 50 48
0.28 0.1000 50 44
0.43 0.0010 25000 26
0.43 0.0015 25000 230
0.43 0.0022 25000 1566
0.43 0.0034 10000 3426
0.43 0.0051 1000 759
0.43 0.0076 1000 933
0.43 0.0114 400 370
0.43 0.0171 400 372
0.43 0.0256 100 91
0.43 0.0384 100 91
0.43 0.0575 50 47
0.43 0.1000 50 49
0.6 0.0010 25000 21
0.6 0.0015 25000 262
0.6 0.0022 25000 1630
0.6 0.0034 10000 3384
0.6 0.0051 1000 744
0.6 0.0076 1000 908
0.6 0.0114 400 378
0.6 0.0171 400 379
0.6 0.0256 100 93
0.6 0.0384 100 93
0.6 0.0575 50 44
0.6 0.1000 50 42
0.78 0.0010 25000 29
0.78 0.0015 25000 243
0.78 0.0022 25000 1668
0.78 0.0034 10000 3456
0.78 0.0051 1000 760
0.78 0.0076 1000 914
0.78 0.0114 400 368
0.78 0.0171 400 368
0.78 0.0256 100 92
0.78 0.0384 100 92
0.78 0.0575 50 46
0.78 0.1000 50 48
1.0 0.0010 25000 28
1.0 0.0015 25000 240
1.0 0.0022 25000 1735
1.0 0.0034 10000 3507
1.0 0.0051 1000 765
1.0 0.0076 1000 909
1.0 0.0114 400 373
1.0 0.0171 400 375
1.0 0.0256 100 94
1.0 0.0384 100 94
1.0 0.0575 50 48
1.0 0.1000 50 47
1.25 0.0010 25000 31
1.25 0.0015 25000 286
1.25 0.0022 25000 1789
1.25 0.0034 10000 3594
1.25 0.0051 1000 778
1.25 0.0076 1000 907
1.25 0.0114 400 378
1.25 0.0171 400 381
1.25 0.0256 100 96
1.25 0.0384 100 96
1.25 0.0575 50 47
1.25 0.1000 50 45
1.52 0.0010 25000 36
1.52 0.0015 25000 319
1.52 0.0022 25000 1954
1.52 0.0034 10000 3789
1.52 0.0051 1000 787
1.52 0.0076 1000 910
1.52 0.0114 400 376
1.52 0.0171 400 377
1.52 0.0256 100 96
1.52 0.0384 100 96
1.52 0.0575 50 48
1.52 0.1000 50 47
1.84 0.0010 25000 35
1.84 0.0015 25000 321
1.84 0.0022 25000 1977
1.84 0.0034 10000 3859
1.84 0.0051 1000 798
1.84 0.0076 1000 921
1.84 0.0114 400 378
1.84 0.0171 400 382
1.84 0.0256 100 93
1.84 0.0384 100 94
1.84 0.0575 50 48
1.84 0.1000 50 47
2.2 0.0010 25000 39
2.2 0.0015 25000 326
2.2 0.0022 25000 2110
2.2 0.0034 10000 4026
2.2 0.0051 1000 787
2.2 0.0076 1000 920
2.2 0.0114 400 364
2.2 0.0171 400 365
2.2 0.0256 100 91
2.2 0.0384 100 91
2.2 0.0575 50 44
2.2 0.1000 50 0
2.6 0.0010 25000 51
2.6 0.0015 25000 330
2.6 0.0022 25000 2210
2.6 0.0034 10000 4078
2.6 0.0051 1000 814
2.6 0.0076 1000 916
2.6 0.0114 400 370
2.6 0.0171 400 374
2.6 0.0256 100 92
2.6 0.0384 100 92
2.6 0.0575 50 45
2.6 0.1000 50 45
3.04 0.0010 25000 38
3.04 0.0015 25000 373
3.04 0.0022 25000 2371
3.04 0.0034 10000 4326
3.04 0.0051 1000 826
3.04 0.0076 1000 935
3.04 0.0114 400 375
3.04 0.0171 400 374
3.04 0.0256 100 93
3.04 0.0384 100 92
3.04 0.0575 50 46
3.04 0.1000 50 46
3.54 0.0010 25000 38
3.54 0.0015 25000 393
3.54 0.0022 25000 2429
3.54 0.0034 10000 4330
3.54 0.0051 1000 814
3.54 0.0076 1000 898
3.54 0.0114 400 372
3.54 0.0171 400 374
3.54 0.0256 100 91
3.54 0.0384 100 91
3.54 0.0575 50 46
3.54 0.1000 50 48
4.1 0.0010 25000 33
4.1 0.0015 25000 406
4.1 0.0022 25000 2440
4.1 0.0034 10000 4267
4.1 0.0051 1000 823
4.1 0.0076 1000 936
4.1 0.0114 400 369
4.1 0.0171 400 372
4.1 0.0256 100 90
4.1 0.0384 100 90
4.1 0.0575 50 45
4.1 0.1000 50 49
