0.1 0.001 0.0000214457422243
0.1 0.01 0.0000211813895431
0.1 0.1 0.0000202027241444
0.28 0.001 0.0000208224334305
0.28 0.01 0.0000207348842631
0.28 0.1 0.0000199502312725
0.43 0.001 0.0000207320194759
0.43 0.01 0.0000205906914547
0.43 0.1 0.0000197678440328
0.6 0.001 0.0000205884505888
0.6 0.01 0.0000205329958106
0.6 0.1 0.0000192949422936
0.78 0.001 0.0000206528885451
0.78 0.01 0.0000199448801566
0.78 0.1 0.0000192825583907
1. 0.001 0.0000198956152715
1. 0.01 0.0000199261608079
1. 0.1 0.0000190164738846
1.25 0.001 0.0000196089766532
1.25 0.01 0.0000195853232621
1.25 0.1 0.0000185058496397
1.52 0.001 0.0000191580929772
1.52 0.01 0.0000189346488868
1.52 0.1 0.0000174720828776
1.84 0.001 0.0000186966934168
1.84 0.01 0.0000182994902199
1.84 0.1 0.0000168825082724
2.2 0.001 0.0000175989567873
2.2 0.01 0.0000174060175459
2.2 0.1 0.0000157785056399
2.6 0.001 0.0000166129287433
2.6 0.01 0.0000159311599345
2.6 0.1 0.000014432721322
3.04 0.001 0.0000153216327657
3.04 0.01 0.0000147324287858
3.04 0.1 0.0000129508029643
3.54 0.001 0.0000140231922059
3.54 0.01 0.0000132705710722
3.54 0.1 0.0000111284380359
4.1 0.001 0.0000119003062437
4.1 0.01 0.0000114849434707
4.1 0.1 9.21946840484e-6
