0.1 0.0010 25000 25
0.1 0.0015 25000 251
0.1 0.0022 25000 1619
0.1 0.0034 10000 3432
0.1 0.0051 1000 770
0.1 0.0076 1000 929
0.1 0.0114 400 371
0.1 0.0171 400 372
0.1 0.0256 100 94
0.1 0.0384 100 94
0.1 0.0575 50 47
0.1 0.1000 50 47
0.28 0.0010 25000 23
0.28 0.0015 25000 273
0.28 0.0022 25000 1659
0.28 0.0034 10000 3518
0.28 0.0051 1000 760
0.28 0.0076 1000 910
0.28 0.0114 400 375
0.28 0.0171 400 376
0.28 0.0256 100 98
0.28 0.0384 100 97
0.28 0.0575 50 48
0.28 0.1000 50 49
0.43 0.0010 25000 24
0.43 0.0015 25000 259
0.43 0.0022 25000 1810
0.43 0.0034 10000 3540
0.43 0.0051 1000 777
0.43 0.0076 1000 924
0.43 0.0114 400 380
0.43 0.0171 400 381
0.43 0.0256 100 97
0.43 0.0384 100 97
0.43 0.0575 50 46
0.43 0.1000 50 46
0.6 0.0010 25000 27
0.6 0.0015 25000 275
0.6 0.0022 25000 1932
0.6 0.0034 10000 3690
0.6 0.0051 1000 793
0.6 0.0076 1000 922
0.6 0.0114 400 375
0.6 0.0171 400 376
0.6 0.0256 100 94
0.6 0.0384 100 94
0.6 0.0575 50 47
0.6 0.1000 50 0
0.78 0.0010 25000 34
0.78 0.0015 25000 302
0.78 0.0022 25000 1893
0.78 0.0034 10000 3749
0.78 0.0051 1000 795
0.78 0.0076 1000 921
0.78 0.0114 400 371
0.78 0.0171 400 372
0.78 0.0256 100 96
0.78 0.0384 100 95
0.78 0.0575 50 47
0.78 0.1000 50 47
1.0 0.0010 25000 39
1.0 0.0015 25000 294
1.0 0.0022 25000 1999
1.0 0.0034 10000 3924
1.0 0.0051 1000 802
1.0 0.0076 1000 933
1.0 0.0114 400 373
1.0 0.0171 400 375
1.0 0.0256 100 88
1.0 0.0384 100 90
1.0 0.0575 50 46
1.0 0.1000 50 47
1.25 0.0010 25000 31
1.25 0.0015 25000 322
1.25 0.0022 25000 2052
1.25 0.0034 10000 3883
1.25 0.0051 1000 790
1.25 0.0076 1000 925
1.25 0.0114 400 370
1.25 0.0171 400 370
1.25 0.0256 100 93
1.25 0.0384 100 91
1.25 0.0575 50 45
1.25 0.1000 50 44
1.52 0.0010 25000 33
1.52 0.0015 25000 295
1.52 0.0022 25000 2032
1.52 0.0034 10000 3837
1.52 0.0051 1000 769
1.52 0.0076 1000 926
1.52 0.0114 400 382
1.52 0.0171 400 384
1.52 0.0256 100 94
1.52 0.0384 100 95
1.52 0.0575 50 46
1.52 0.1000 50 47
1.84 0.0010 25000 26
1.84 0.0015 25000 326
1.84 0.0022 25000 1932
1.84 0.0034 10000 3807
1.84 0.0051 1000 782
1.84 0.0076 1000 931
1.84 0.0114 400 371
1.84 0.0171 400 374
1.84 0.0256 100 92
1.84 0.0384 100 92
1.84 0.0575 50 45
1.84 0.1000 50 48
2.2 0.0010 25000 24
2.2 0.0015 25000 303
2.2 0.0022 25000 2015
2.2 0.0034 10000 3829
2.2 0.0051 1000 771
2.2 0.0076 1000 917
2.2 0.0114 400 372
2.2 0.0171 400 374
2.2 0.0256 100 91
2.2 0.0384 100 90
2.2 0.0575 50 45
2.2 0.1000 50 49
2.6 0.0010 25000 20
2.6 0.0015 25000 331
2.6 0.0022 25000 1907
2.6 0.0034 10000 3723
2.6 0.0051 1000 790
